Linux 2.6.32-279.22.1.el6.x86_64 (Delta3.fbu.lab.emc.com) 	05/02/2013 	_x86_64_	(32 CPU)

01:53:01 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
01:53:16 PM   20    0.66    0.00    1.00    0.00    0.00    0.00    0.00    0.00   98.34
01:53:16 PM   21    0.33    0.00    0.33    0.00    0.00    0.00    0.00    0.00   99.33
01:53:16 PM   22    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00   99.67
01:53:16 PM   23    0.33    0.00    0.33    0.00    0.00    0.00    0.00    0.00   99.34
01:53:16 PM   24    0.66    0.00    0.33    0.00    0.00    0.00    0.00    0.00   99.00
01:53:16 PM   25    0.67    0.00    1.00    0.00    0.00    0.00    0.00    0.00   98.33
01:53:16 PM   26    1.00    0.00    1.33    0.00    0.00    0.00    0.00    0.00   97.67
01:53:16 PM   27    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   98.01
01:53:16 PM   28    0.33    0.00    0.33    0.00    0.00    0.00    0.00    0.00   99.33
01:53:16 PM   29    0.00    0.00    0.67    0.00    0.00    0.00    0.00    0.00   99.33
01:53:16 PM   30    0.33    0.00    0.66    0.00    0.00    0.00    0.00    0.00   99.00
01:53:16 PM   31    0.33    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.67

01:53:16 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
01:53:19 PM  all    1.84    0.00    1.13    1.31    0.00    0.00    0.00    0.00   95.72
01:53:19 PM    0   42.35    0.00   18.24   39.09    0.00    0.00    0.00    0.00    0.33
01:53:19 PM    1    1.34    0.00    1.34    0.00    0.00    0.00    0.00    0.00   97.32
01:53:19 PM    2    0.67    0.00    0.67    0.00    0.00    0.00    0.00    0.00   98.67
01:53:19 PM    3    0.33    0.00    0.33    0.00    0.00    0.00    0.00    0.00   99.33
01:53:19 PM    4    0.33    0.00    0.33    0.00    0.00    0.00    0.00    0.00   99.34
01:53:19 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:53:19 PM    6    0.33    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.67
01:53:19 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:53:19 PM    8    0.67    0.00    0.34    0.00    0.00    0.00    0.00    0.00   98.99
01:53:19 PM    9    1.00    0.00    0.67    0.00    0.00    0.00    0.00    0.00   98.33
01:53:19 PM   10    0.67    0.00    0.67    0.00    0.00    0.00    0.00    0.00   98.67
01:53:19 PM   11    0.33    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.67
01:53:19 PM   12    0.33    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.67
01:53:19 PM   13    0.00    0.00    0.00    1.33    0.00    0.00    0.00    0.00   98.67
01:53:19 PM   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:53:19 PM   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:53:19 PM   16    0.67    0.00    0.33    0.33    0.00    0.00    0.00    0.00   98.67
01:53:19 PM   17    1.00    0.00    1.67    0.00    0.00    0.00    0.00    0.00   97.32
01:53:19 PM   18    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   97.99
01:53:19 PM   19    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   98.00
01:53:19 PM   20    0.67    0.00    1.00    0.00    0.00    0.00    0.00    0.00   98.33
01:53:19 PM   21    0.33    0.00    0.33    0.00    0.00    0.00    0.00    0.00   99.33
01:53:19 PM   22    0.33    0.00    0.33    0.00    0.00    0.00    0.00    0.00   99.34
01:53:19 PM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
